Question_ID,Question,Type,Answer,Path
55,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame4.jpg
56,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame5.jpg
57,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame6.jpg
58,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame7.jpg
59,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame8.jpg
60,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg1_frame9.jpg
61,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame1.jpg
62,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame10.jpg
63,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame2.jpg
64,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame3.jpg
65,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame4.jpg
66,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame5.jpg
67,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame6.jpg
68,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame7.jpg
69,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame8.jpg
70,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg2_frame9.jpg
71,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame1.jpg
72,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame10.jpg
73,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame2.jpg
74,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame3.jpg
75,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame4.jpg
76,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame5.jpg
77,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame6.jpg
78,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame7.jpg
79,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame8.jpg
80,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg3_frame9.jpg
81,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame1.jpg
82,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame10.jpg
83,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame2.jpg
84,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame3.jpg
85,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame4.jpg
86,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame5.jpg
87,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame6.jpg
88,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame7.jpg
89,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame8.jpg
90,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg4_frame9.jpg
91,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame1.jpg
92,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame10.jpg
93,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame2.jpg
94,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame3.jpg
95,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame4.jpg
96,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame5.jpg
97,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame6.jpg
98,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame7.jpg
99,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame8.jpg
100,Why is the car turning right at T-junction?,Causal,Because there is no obstacle on the left side and turning right can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Right_turn_junction_seg5_frame9.jpg
101,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame1.jpg
102,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame10.jpg
103,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame2.jpg
104,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame3.jpg
105,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame4.jpg
106,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame5.jpg
107,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame6.jpg
108,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame7.jpg
109,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame8.jpg
110,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg1_frame9.jpg
111,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame1.jpg
112,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame10.jpg
113,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame2.jpg
114,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame3.jpg
115,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame4.jpg
116,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame5.jpg
117,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame6.jpg
118,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame7.jpg
119,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame8.jpg
120,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg2_frame9.jpg
121,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame1.jpg
122,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame10.jpg
123,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame2.jpg
124,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame3.jpg
125,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame4.jpg
126,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame5.jpg
127,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame6.jpg
128,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame7.jpg
129,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame8.jpg
130,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg3_frame9.jpg
131,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame1.jpg
132,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame10.jpg
133,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame2.jpg
134,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame3.jpg
135,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame4.jpg
136,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame5.jpg
137,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame6.jpg
138,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame7.jpg
139,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame8.jpg
140,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg4_frame9.jpg
141,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame1.jpg
142,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame10.jpg
143,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame2.jpg
144,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame3.jpg
145,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame4.jpg
146,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame5.jpg
147,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame6.jpg
148,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame7.jpg
149,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame8.jpg
150,Why is the car turning left at T-junction?,Causal,Because there is no obstacle on the right side and turning left can be performed safely.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_junction_seg5_frame9.jpg
151,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame1.jpg
152,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame10.jpg
153,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame2.jpg
154,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame3.jpg
155,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame4.jpg
156,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame5.jpg
157,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame6.jpg
158,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame7.jpg
159,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame8.jpg
160,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg1_frame9.jpg
161,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg2_frame1.jpg
162,Why is the car turning to the left?,Causal,Because the road is bending to the left.,/home/shahin/Documents/VQA_AD/Selected_segments_frames/Turn_left_seg2_frame10.jpg
